gene,control_rep2,exp_rep1,control_rep1,exp_rep2,exp_rep3,control_rep3
ENSG00000171735.21,2884,3827,3460,3902,3923,4284
ENSG00000227950.1,0,0,0,0,0,0
ENSG00000237365.1,0,0,0,0,0,0
ENSG00000207056.1,0,0,0,0,0,0
ENSG00000237402.1,0,1,2,0,0,0
ENSG00000237728.2,0,0,0,0,0,0
ENSG00000225126.1,0,0,0,0,0,0
ENSG00000270171.1,6,2,4,2,1,6
ENSG00000270035.1,5,7,9,6,4,5
ENSG00000269978.1,10,11,7,9,8,9
ENSG00000049245.13,9521,12421,10385,11135,11045,12869
ENSG00000269925.1,22,32,26,36,27,37
ENSG00000049246.15,163,149,215,190,164,258
ENSG00000236266.1,0,4,3,2,0,3
ENSG00000049247.14,1,2,1,0,1,5
ENSG00000049249.10,2245,3055,2675,2732,2274,3000
ENSG00000270330.1,0,0,0,0,0,1
ENSG00000116288.13,14268,16934,15811,17006,18374,19670
ENSG00000200344.1,1,7,4,3,2,3
ENSG00000284747.1,7,12,16,22,11,19
ENSG00000284716.1,0,0,3,3,0,2
ENSG00000116285.13,9986,17203,12761,17506,11779,14361
ENSG00000238290.1,0,5,7,1,4,4
ENSG00000232848.1,0,0,0,2,3,0
ENSG00000229305.1,0,0,0,0,0,0
ENSG00000288816.1,0,0,0,0,0,0
ENSG00000227634.3,2,0,0,0,1,1
ENSG00000200975.1,0,0,0,0,0,0
ENSG00000233645.1,0,0,0,0,0,0
ENSG00000251977.1,0,0,0,0,0,0
ENSG00000162426.16,67,40,80,48,95,93
ENSG00000252254.1,0,0,0,0,0,0
ENSG00000142599.20,6612,7538,7748,7598,8026,9533
ENSG00000232912.6,0,5,1,1,0,3
ENSG00000221083.1,0,0,0,0,0,0
ENSG00000270282.1,1,1,1,0,0,0
ENSG00000234619.1,0,3,2,0,2,0
ENSG00000224315.2,0,0,1,0,2,2
ENSG00000222511.2,0,0,0,0,0,0
ENSG00000226545.1,0,1,0,0,0,0
ENSG00000228423.2,0,2,0,0,0,2
ENSG00000229716.2,0,0,0,0,0,0
ENSG00000074800.16,172263,180244,183187,176889,229020,235261
ENSG00000274258.1,0,0,1,0,0,2
ENSG00000230679.1,3,3,5,3,7,3
ENSG00000201725.1,0,0,0,0,0,0
ENSG00000238249.2,4,5,3,5,13,5
ENSG00000232208.2,0,1,0,1,1,0
ENSG00000232663.2,0,0,0,0,0,0
ENSG00000131686.15,0,0,0,0,0,0
ENSG00000290109.1,0,0,0,0,0,0
ENSG00000265141.2,0,0,0,0,0,0
ENSG00000197241.4,3,3,5,6,5,3
ENSG00000142583.18,11,7,18,13,11,15
ENSG00000252404.1,0,0,0,0,0,0
ENSG00000180758.12,403,487,463,445,418,503
ENSG00000228526.8,146,325,235,356,233,260
ENSG00000284357.1,0,0,0,0,0,0
ENSG00000289914.1,0,0,0,0,0,1
ENSG00000234546.5,99,186,118,146,161,113
ENSG00000049239.13,4692,6158,5713,6435,5297,6682
ENSG00000171621.14,822,912,1026,954,1029,1033
ENSG00000284652.1,1,3,4,4,5,7
ENSG00000284693.2,13,11,8,11,19,29
ENSG00000252956.1,0,0,0,0,0,0
ENSG00000235263.1,0,0,0,0,0,0
ENSG00000171612.7,1991,2601,2312,2521,2459,2885
ENSG00000231181.1,18,34,32,45,28,21
ENSG00000188807.13,2005,2120,2139,1950,2904,2720
ENSG00000171608.18,1028,1111,1196,1068,1330,1407
ENSG00000179840.5,0,0,0,0,0,0
ENSG00000233268.3,0,0,0,0,0,0
ENSG00000231789.4,133,101,139,79,181,183
ENSG00000171603.18,16671,20562,18636,20432,20924,22996
ENSG00000271264.1,3,1,0,1,0,1
ENSG00000280113.2,0,0,0,0,2,0
ENSG00000178585.15,8178,13801,8808,13117,11499,11202
ENSG00000223989.1,0,0,0,0,0,0
ENSG00000285701.1,2,5,2,3,0,2
ENSG00000162441.12,4596,6811,5334,6186,5225,6290
ENSG00000228150.1,6,12,23,23,24,22
ENSG00000173614.14,1164,1501,1303,1493,1348,1608
ENSG00000202415.1,2,2,2,1,2,2
ENSG00000283611.2,0,2,1,1,0,1
ENSG00000265521.1,0,0,0,1,1,0
ENSG00000241326.1,0,0,0,0,0,0
ENSG00000162444.12,30,27,37,37,32,44
ENSG00000130939.20,9261,11240,10711,11057,9818,12429
ENSG00000224340.1,0,0,0,0,0,0
ENSG00000233623.2,1,0,0,0,0,0
ENSG00000201746.1,0,0,0,0,0,1
ENSG00000054523.20,10394,12391,12346,12090,10178,14304
ENSG00000264881.1,0,1,0,0,0,1
ENSG00000199562.1,1,2,0,0,3,0
ENSG00000264501.2,0,0,0,0,0,0
ENSG00000284735.1,19,18,24,12,23,24
ENSG00000284642.1,23,21,32,36,29,46
ENSG00000142657.21,29442,33151,32912,30846,36785,40807
ENSG00000271989.1,0,1,0,0,1,0
ENSG00000251503.8,22,22,11,22,22,28
ENSG00000175279.22,144,206,144,115,146,184
ENSG00000241563.4,3,3,3,8,11,8
ENSG00000160049.12,7665,8747,9173,9115,8220,10689
ENSG00000203469.2,0,0,0,0,0,0
ENSG00000142655.13,1667,1988,1975,2013,2389,2357
ENSG00000287727.1,4,4,9,4,3,2
ENSG00000243267.3,0,0,0,0,0,3
ENSG00000130940.15,1335,1614,1538,1597,1332,1834
ENSG00000272078.1,33,48,26,26,45,55
ENSG00000225158.2,0,0,0,0,0,0
ENSG00000175262.15,82,42,91,42,72,136
ENSG00000215785.2,0,3,0,0,2,0
ENSG00000120948.19,18685,22621,21760,22176,21178,26064
ENSG00000009724.18,74,92,78,106,75,125
ENSG00000116649.10,7352,7834,7910,7269,11118,10550
ENSG00000171824.14,5323,6175,6120,6632,6258,7578
ENSG00000226849.1,1,6,1,0,1,0
ENSG00000230337.3,9,7,10,11,8,8
ENSG00000198793.14,7652,8871,8959,9546,8068,10633
ENSG00000225602.5,2,1,0,0,0,0
ENSG00000253086.1,0,0,0,0,0,0
ENSG00000171819.5,4,5,10,13,7,11
ENSG00000207451.1,0,0,0,0,0,0
ENSG00000238173.1,1,2,2,11,9,4
ENSG00000120942.14,1956,2398,2220,2359,2357,2779
ENSG00000238199.1,2,3,5,1,1,1
ENSG00000284646.1,0,0,0,0,1,0
ENSG00000224338.2,0,0,0,0,0,0
ENSG00000204624.8,181,129,219,108,204,226
ENSG00000285833.1,0,0,0,0,0,0
ENSG00000235643.2,1,0,0,2,5,1
ENSG00000284708.1,3,2,2,5,4,4
ENSG00000116661.11,1257,1599,1392,1698,2010,1867
ENSG00000132879.14,1234,1407,1227,1478,1734,1679
ENSG00000116670.16,4103,4133,4145,4467,5623,5447
ENSG00000116663.11,138,177,128,159,177,210
ENSG00000162490.7,756,871,851,853,971,936
ENSG00000177674.16,2521,2626,2575,2691,3349,3337
ENSG00000215910.8,2,1,2,0,4,2
ENSG00000177553.6,0,0,0,0,0,0
ENSG00000177000.13,1242,1370,1353,1450,1200,1654
ENSG00000011021.23,917,1127,1184,1370,1062,1338
ENSG00000276470.1,0,0,0,0,0,0
ENSG00000278852.1,0,0,0,0,0,0
ENSG00000175206.11,4,7,12,8,8,8
ENSG00000275915.1,0,0,0,0,0,0
ENSG00000120937.9,2463,4238,3214,4696,4411,3808
ENSG00000224904.1,2,1,2,1,1,1
ENSG00000285646.2,31,63,53,42,65,73
ENSG00000199347.1,0,0,0,0,0,0
ENSG00000201801.1,0,0,0,0,0,0
ENSG00000116685.17,4686,5234,5087,5680,6162,6424
ENSG00000083444.17,12796,16205,14298,15872,16421,18130
ENSG00000287384.1,2,0,0,0,0,0
ENSG00000116688.18,8782,10854,10117,10857,10633,11923
ENSG00000270914.1,0,0,0,0,0,0
ENSG00000116691.11,1645,1675,1714,1663,2077,2296
ENSG00000202461.1,3,2,4,1,1,3
ENSG00000276869.1,0,0,0,0,0,0
ENSG00000243539.3,0,0,0,0,0,0
ENSG00000120949.15,21,15,20,22,19,23
ENSG00000201135.1,0,0,0,0,0,0
ENSG00000227875.2,0,0,0,0,0,0
ENSG00000285604.1,0,0,0,0,0,0
ENSG00000283789.1,0,0,0,0,0,0
ENSG00000028137.19,17,33,22,29,33,27
ENSG00000263676.1,0,0,0,0,0,0
ENSG00000225196.2,0,0,0,0,0,0
ENSG00000252969.1,0,0,0,0,0,0
ENSG00000048707.15,3140,4197,3759,4212,3034,4346
ENSG00000239149.1,0,1,3,3,1,2
ENSG00000229484.3,0,0,0,0,0,0
ENSG00000162496.9,2519,3234,2716,3029,3273,3489
ENSG00000221340.1,1,1,1,1,1,2
ENSG00000276830.1,0,0,0,1,0,1
ENSG00000288927.2,43,52,53,33,45,44
ENSG00000272482.2,9,7,10,4,5,14
ENSG00000204518.3,3,0,1,0,0,0
ENSG00000226166.2,0,0,0,0,0,0
ENSG00000188984.12,0,6,0,4,0,0
